word,FREQcount,Lg10WF,CDcount,Lg10CD,Dom_PoS_SUBTLEX,Percentage_dom_PoS,animacy_mental_rating,animacy_physical_rating,total_animacy
barrel,542,2.7348,373,2.5729,Noun,1.00,140,125,265
toilet,1474,3.1688,954,2.98,Noun,0.98,167,100,267
blouse,272,2.4362,187,2.2742,Noun,1.00,148,120,268
napkin,184,2.2672,137,2.1399,Noun,0.98,138,130,268
statue,540,2.7332,317,2.5024,Noun,1.00,165,103,268
glass,3096,3.4909,1841,3.2653,Noun,0.97,150,119,269
platform,313,2.4969,223,2.3502,Noun,1.00,152,117,269
biscuit,191,2.2833,114,2.0607,Noun,1.00,138,133,271
desk,2239,3.3502,1404,3.1477,Noun,1.00,144,127,271
pole,642,2.8082,394,2.5966,Noun,1.00,140,132,272
jug,134,2.1303,75,1.8808,Noun,1.00,149,124,273
marble,266,2.4265,154,2.1903,Noun,0.95,135,138,273
mirror,1233,3.0913,871,2.9405,Noun,0.98,151,122,273
pocket,1821,3.2605,1282,3.1082,Noun,0.99,156,117,273
sofa,299,2.4771,226,2.356,Noun,1.00,144,129,273
chair,2511,3.4,1553,3.1915,Noun,0.98,161,113,274
gravy,269,2.4314,190,2.281,Noun,1.00,144,130,274
envelope,513,2.711,326,2.5145,Noun,1.00,151,124,275
kettle,143,2.1584,119,2.0792,Noun,0.97,164,111,275
nickel,431,2.6355,338,2.5302,Noun,1.00,136,139,275
paper,5271,3.722,2626,3.4195,Noun,1.00,148,127,275
sheet,592,2.7731,464,2.6675,Noun,1.00,139,136,275
skirt,508,2.7067,385,2.5866,Noun,0.98,156,119,275
tent,892,2.9509,445,2.6493,Noun,1.00,155,120,275
cigar,660,2.8202,387,2.5888,Noun,1.00,153,123,276
coal,335,2.5263,168,2.2279,Noun,0.98,138,138,276
stool,179,2.2553,156,2.1959,Noun,1.00,142,134,276
box,4577,3.6607,2353,3.3718,Noun,0.96,137,140,277
bracelet,398,2.601,193,2.2878,Noun,1.00,151,126,277
coat,2146,3.3318,1272,3.1048,Noun,0.98,145,132,277
couch,1197,3.0785,792,2.8993,Noun,0.99,153,124,277
macaroni,166,2.2227,100,2.0043,Noun,1.00,149,128,277
tower,1165,3.0667,540,2.7332,Noun,1.00,147,130,277
cord,358,2.5551,264,2.4232,Noun,0.97,154,124,278
necklace,497,2.6972,279,2.4472,Noun,1.00,141,137,278
roof,1818,3.2598,1148,3.0603,Noun,1.00,163,115,278
trophy,385,2.5866,225,2.3541,Noun,1.00,157,121,278
basement,1074,3.0314,679,2.8325,Noun,1.00,151,128,279
pier,334,2.525,213,2.3304,Noun,1.00,148,131,279
pool,2396,3.3797,1200,3.0795,Noun,0.99,157,122,279
shoe,1550,3.1906,893,2.9513,Noun,0.97,159,120,279
triangle,218,2.3404,125,2.1004,Noun,1.00,153,126,279
zipper,144,2.1614,118,2.0755,Noun,0.99,158,121,279
ornament,58,1.7709,51,1.716,Noun,0.98,136,144,280
sleeve,286,2.4579,241,2.3838,Noun,1.00,153,127,280
towel,722,2.8591,525,2.721,Noun,0.99,151,129,280
blanket,662,2.8215,480,2.6821,Noun,0.98,151,130,281
bucket,511,2.7093,391,2.5933,Noun,0.99,167,114,281
flag,892,2.9509,497,2.6972,Noun,0.98,140,141,281
pebble,65,1.8195,49,1.699,Noun,1.00,156,125,281
quilt,39,1.6021,34,1.5441,Noun,1.00,149,132,281
bottle,2588,3.4131,1561,3.1937,Noun,0.97,161,121,282
candy,1825,3.2615,902,2.9557,Noun,1.00,146,136,282
costume,721,2.8585,395,2.5977,Noun,1.00,172,110,282
cradle,145,2.1644,107,2.0334,Noun,0.96,155,127,282
diamond,1053,3.0228,473,2.6758,Noun,0.96,154,128,282
ribbon,258,2.4133,156,2.1959,Noun,0.98,155,127,282
collar,536,2.73,392,2.5944,Noun,0.96,165,118,283
glove,515,2.7126,336,2.5276,Noun,1.00,162,121,283
juice,1371,3.1374,830,2.9196,Noun,1.00,149,135,284
warehouse,509,2.7076,314,2.4983,Noun,1.00,174,110,284
blade,663,2.8222,392,2.5944,Noun,1.00,144,141,285
cake,2298,3.3615,1197,3.0785,Noun,1.00,151,134,285
doll,1263,3.1017,648,2.8122,Noun,0.98,179,106,285
hat,3273,3.5151,1728,3.2378,Noun,1.00,156,129,285
