animate_noun,inanimate_noun,distance,cos_sim,cos_diff,geom_mean_dist
chauffeur,limousine,0.5664394560018527,0.717034968237538,0.282965031762462,0.4003530425250643
guy,thing,1.1256022446240872,0.6757707164526472,0.3242292835473528,0.6041135732076874
tenor,flute,0.37333302441272204,0.61105486997921,0.38894513002079,0.3810591315285083
family,house,0.6091399185640822,0.560697799175361,0.439302200824639,0.5172973099053799
kid,hell,0.6174155310644417,0.5528162342955361,0.44718376570446394,0.5254504754834831
salmon,tomato,0.10565940721312997,0.5456151048281899,0.45438489517181013,0.21911193183040867
children,school,1.2021751244817762,0.5336225323385025,0.46637746766149746,0.7487772634378372
goat,pork,0.053290682722331326,0.5109434554045028,0.4890565445954972,0.16143778105300607
doctor,blood,0.595910205952335,0.5031639062801876,0.4968360937198124,0.5441228711726122
cow,egg,0.014341722688490979,0.4970249674665431,0.5029750325334569,0.08493249340405336
lobster,pudding,0.12061198091379283,0.480870834573063,0.519129165426937,0.2502262915687856
dancer,circus,0.08794924299191757,0.4765874755906748,0.5234125244093252,0.21455473729164948
team,club,0.31845324825952115,0.46864728483244017,0.5313527151675599,0.4113526444750606
beast,sword,0.1479700556467563,0.46135151399510255,0.5386484860048975,0.28231869659692344
population,territory,0.6969291501317935,0.4610137371713336,0.5389862628286664,0.6128908859543385
deputy,bureau,0.23876556113634598,0.4608849391388115,0.5391150608611885,0.35877863652059466
community,university,0.6046951380290256,0.4581413699035461,0.5418586300964539,0.5724153030085708
professor,medicine,0.7505303073054631,0.4526299829362648,0.5473700170637352,0.6409506900820389
cobra,venom,0.2477717053193104,0.45062395736178745,0.5493760426382126,0.36894422199845345
husband,dinner,0.5584831453357997,0.4502682804858264,0.5497317195141735,0.5540901549433388
passenger,railroad,0.5526925865744204,0.4457625713842016,0.5542374286157984,0.553464468595791
plumber,chimney,0.07819367864604287,0.44556054329083056,0.5544394567091695,0.20821541899341509
eagle,creek,0.21094600174217154,0.44190935000306525,0.5580906499969347,0.3431136709991938
officer,prison,0.6642591364281378,0.4402647842339676,0.5597352157660325,0.609761618219089
crab,bean,0.12448443660040297,0.43951278725137966,0.5604872127486203,0.26414377694873337
servant,kingdom,0.19969103484787784,0.4273757991220844,0.5726242008779157,0.3381536917619709
lover,couch,0.12453240959059823,0.42074664839352005,0.57925335160648,0.2685811155665732
camel,scarf,0.14890321248600424,0.4055953473832934,0.5944046526167066,0.2975042223082809
teacher,church,0.5652308531408413,0.4028423278445429,0.5971576721554571,0.5809749912793388
frog,cave,0.2629135980006115,0.39851887010957643,0.6014811298904236,0.397665145554604
warrior,thunder,0.28631042046074634,0.3937769804946205,0.6062230195053795,0.4166148912455824
consumer,beverage,0.1853813705444951,0.3884720671517517,0.6115279328482484,0.3366985095269212
octopus,spinach,0.3263037268262916,0.3873608402522488,0.6126391597477512,0.4471089811504786
panther,emerald,0.23294071622957446,0.3867083023025451,0.613291697697455,0.3779690560340844
tiger,skull,0.19080284969359126,0.3863421317001708,0.6136578682998293,0.3421807563386666
trout,canoe,0.3158821065870078,0.3846605889674568,0.6153394110325432,0.44087947267135086
sailor,vessel,0.22062674797445506,0.38282527600013916,0.6171747239998608,0.3690057618630381
victim,weapon,0.04021128408009867,0.38203349302005357,0.6179665069799465,0.1576363751300978
attorney,property,0.19095322854794483,0.3778285302640288,0.6221714697359713,0.3446819560935902
dog,hair,0.5825856369680013,0.37752634586118694,0.6224736541388131,0.6021994771604005
bird,moon,0.06831801737093814,0.37698469781420274,0.6230153021857973,0.20630843472114652
whale,yacht,0.25123844050751926,0.37429392100176323,0.6257060789982367,0.3964863421400435
designer,bracelet,0.27944392998288353,0.3738817932789318,0.6261182067210682,0.41828809727264626
ballerina,nightgown,0.15636426100433348,0.36886159444391114,0.6311384055560889,0.3141456515316282
operator,elevator,0.3927112188701968,0.3688495190768533,0.6311504809231467,0.49785527480768926
maid,doll,0.0706989606428851,0.3643396054771875,0.6356603945228125,0.2119918140273561
aunt,cake,0.22851536123977145,0.364133425704152,0.635866574295848,0.38118929670901264
donor,tumor,0.16162859132664187,0.36364180562688275,0.6363581943731172,0.3207080892894538
tourist,bicycle,0.31064236413103863,0.3575331401484416,0.6424668598515584,0.446740891591684
horse,truck,0.16821029236604987,0.35683417856709493,0.643165821432905,0.32891809141955025
prince,island,0.0903084474347206,0.3564329195712768,0.6435670804287232,0.2410799532387833
bride,photo,0.15866267358476652,0.35581887556862024,0.6441811244313798,0.3196990764377086
neighbor,basement,0.1651143755701087,0.3544223543135927,0.6455776456864073,0.3264875952460246
turtle,statue,0.36542832580475243,0.35417921429294735,0.6458207857070526,0.4857995558775636
driver,camera,0.12802121554563733,0.3539172450528244,0.6460827549471756,0.28759746110042694
physician,infection,0.305187206622178,0.35292240906467076,0.6470775909353292,0.44438699626042333
cat,hat,0.17672810168399666,0.3503402203728466,0.6496597796271534,0.33884087650983086
monkey,toilet,0.1880702699270694,0.3499731341507227,0.6500268658492774,0.34964371597401905
thief,purse,0.14678000565995877,0.3433536266115154,0.6566463733884846,0.31045540485318207
pony,jeep,0.17853400756480797,0.34058319051061986,0.6594168094893802,0.34311561557839143
queen,chair,0.22501782532346445,0.34010508364726544,0.6598949163527346,0.3853415615005755
boyfriend,apartment,0.09952570775682322,0.33986887532762516,0.6601311246723749,0.2563201462923385
shark,robot,0.20068491754526097,0.3387967718542519,0.6612032281457481,0.36427121121643663
bee,zoo,0.39914639134764124,0.337328032806598,0.662671967193402,0.5142986723223082
gal,bra,0.2895951554510408,0.3304644919549329,0.6695355080450671,0.44033423615737943
