word,FREQcount,Lg10WF,CDcount,Lg10CD,Dom_PoS_SUBTLEX,Percentage_dom_PoS
sorry,59566,4.775,7923,3.8989,Adjective,1.00
big,34824,4.5419,7234,3.8594,Adjective,1.00
old,31056,4.4922,6909,3.8395,Adjective,1.00
happy,16993,4.2303,5531,3.7429,Adjective,1.00
beautiful,14266,4.1543,4973,3.6967,Adjective,1.00
crazy,13886,4.1426,5039,3.7024,Adjective,1.00
afraid,12631,4.1015,4944,3.6942,Adjective,1.00
funny,11127,4.0464,4659,3.6684,Adjective,1.00
different,10686,4.0289,4860,3.6867,Adjective,1.00
important,10587,4.0248,4878,3.6883,Adjective,1.00
stupid,9405,3.9734,4276,3.6311,Adjective,1.00
glad,8740,3.9416,4312,3.6348,Adjective,1.00
wonderful,8364,3.9225,3362,3.5267,Adjective,1.00
able,8155,3.9115,4285,3.6321,Adjective,1.00
alive,7878,3.8965,3735,3.5724,Adjective,1.00
special,7577,3.8796,3885,3.5895,Adjective,1.00
serious,7566,3.8789,4006,3.6028,Adjective,1.00
lucky,7316,3.8643,3874,3.5883,Adjective,1.00
poor,6583,3.8185,3224,3.5085,Adjective,1.00
possible,5816,3.7647,3373,3.5281,Adjective,1.00
mad,5784,3.7623,2965,3.4722,Adjective,1.00
careful,5550,3.7444,3256,3.5128,Adjective,1.00
weird,5156,3.7124,2597,3.4146,Adjective,1.00
lovely,4853,3.6861,2473,3.3934,Adjective,1.00
terrible,4795,3.6809,2810,3.4489,Adjective,1.00
personal,4675,3.6699,2828,3.4516,Adjective,1.00
simple,4555,3.6586,2861,3.4567,Adjective,1.00
cute,4475,3.6509,2459,3.3909,Adjective,1.00
interesting,4421,3.6456,2753,3.44,Adjective,1.00
proud,4265,3.63,2621,3.4186,Adjective,1.00
entire,4070,3.6097,2627,3.4196,Adjective,1.00
hungry,3931,3.5946,2441,3.3877,Adjective,1.00
dangerous,3817,3.5818,2386,3.3779,Adjective,1.00
honest,3689,3.567,2331,3.3677,Adjective,1.00
normal,3589,3.5551,2134,3.3294,Adjective,1.00
holy,3475,3.5411,1889,3.2765,Adjective,1.00
nervous,3425,3.5348,2105,3.3235,Adjective,1.00
sad,3232,3.5096,2003,3.3019,Adjective,1.00
guilty,3177,3.5022,1538,3.1872,Adjective,1.00
difficult,3068,3.487,2118,3.3261,Adjective,1.00
impossible,3015,3.4794,2060,3.3141,Adjective,1.00
angry,3008,3.4784,1864,3.2707,Adjective,1.00
silly,2912,3.4643,1845,3.2662,Adjective,1.00
ridiculous,2836,3.4529,1989,3.2989,Adjective,1.00
fresh,2780,3.4442,1953,3.2909,Adjective,1.00
