word,FREQcount,Lg10WF,CDcount,Lg10CD,Dom_PoS_SUBTLEX,Percentage_dom_PoS,animacy_mental_rating,animacy_physical_rating
lion,783,2.8943,328,2.5172,Noun,1.00,371,670
bone,1329,3.1239,855,2.9325,Noun,0.97,193,272
tunnel,912,2.9605,445,2.6493,Noun,0.96,165,134
monarch,42,1.6335,31,1.5051,Noun,1.00,541,653
dragon,984,2.9934,277,2.444,Noun,0.98,340,400
airport,1940,3.288,982,2.9926,Noun,1.00,226,154
item,628,2.7987,432,2.6365,Noun,1.00,151,196
hostage,743,2.8716,357,2.5539,Noun,1.00,608,633
fighter,652,2.8149,367,2.5658,Noun,1.00,601,648
tube,838,2.9238,455,2.659,Noun,1.00,146,139
nursery,207,2.3181,139,2.1461,Noun,1.00,213,204
tractor,190,2.281,106,2.0294,Noun,1.00,183,161
oven,453,2.6571,331,2.5211,Noun,1.00,170,125
ruler,162,2.2122,138,2.143,Noun,1.00,377,249
builder,48,1.6902,43,1.6435,Noun,1.00,602,619
tray,410,2.6138,281,2.4502,Noun,1.00,165,143
peanut,630,2.8,362,2.5599,Noun,1.00,120,356
pyramid,204,2.3118,99,2,Noun,1.00,176,133
ocean,1545,3.1892,862,2.936,Noun,0.96,173,285
diver,124,2.0969,53,1.7324,Noun,0.95,602,665
mummy,500,2.6998,166,2.2227,Noun,1.00,217,128
synagogue,49,1.699,31,1.5051,Noun,1.00,264,158
player,1926,3.2849,1031,3.0137,Noun,1.00,650,609
nation,1045,3.0195,620,2.7931,Noun,1.00,430,332
trunk,1010,3.0048,561,2.7497,Noun,1.00,157,134
gorilla,283,2.4533,156,2.1959,Noun,1.00,444,676
foundation,740,2.8698,374,2.574,Noun,0.99,236,159
animal,2320,3.3657,1372,3.1377,Noun,1.00,437,672
sugar,1926,3.2849,1146,3.0596,Noun,0.97,157,170
monster,1982,3.2973,945,2.9759,Noun,0.99,310,411
