participant_id	experiment_section	frame_condition	block_num	trial_num	list_condition	crit_pair	crit_word	study_list	study_position	study_word
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	0	lion
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	1	bone
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	2	tunnel
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	3	monarch
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	4	dragon
0	practice	None	None	0	None	None	None	"[lemonade, blood, tooth, mink, dime, ale]"	5	airport
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	0	item
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	1	hostage
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	2	fighter
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	3	tube
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	4	nursery
0	practice	None	None	1	None	None	None	"[hut, helper, egg, tongue, neighbor, thunder]"	5	tractor
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	0	oven
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	1	ruler
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	2	builder
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	3	tray
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	4	peanut
0	practice	None	None	2	None	None	None	"[office, river, brunette, tiger, parcel, prize]"	5	pyramid
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	0	ocean
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	1	diver
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	2	mummy
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	3	synagogue
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	4	player
0	practice	None	None	3	None	None	None	"[newspaper, deer, mosquito, sugar, pistol, mountain]"	5	nation
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	0	trunk
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	1	gorilla
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	2	foundation
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	3	animal
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	4	sugar
0	practice	None	None	4	None	None	None	"[toe, galaxy, finger, ankle, steam, mist]"	5	monster
